movie_name,year,time,rating,metascore,votes,gross,description,Director,Stars,Image URLs
"2,425. In the Absence of the Sun (2014)",94 min | Drama,7.3,Rate,"A tender, melancholic night is experienced through the eyes of three women as they struggle to find themselves in this ever-changing jungle of Jakarta.","Director: Lucky Kuswandi | Stars: Paul Agusta, Marissa Anita, Ina Panggabean, Dira Sugandi",Votes: 279,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,426. The Bastard Executioner (2015)","42 min | Action, Drama",6.2,Rate,"In the early 14th century, several oppressed Welsh commoners unite to take revenge on the ruthless nobility.","Stars: Lee Jones, Katey Sagal, Flora Spencer-Longhurst, Sam Spruell","Votes: 9,528",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,427. Albatross (2011)",15 | 90 min | Drama,6.3,Rate,42 Metascore,"Beth, a bookish teenager, befriends Emilia, an aspiring novelist who has just arrived in town. Emilia soon begins an affair with Beth's father that threatens to have devastating consequences.","Director: Niall MacCormick | Stars: Felicity Jones, Jessica Brown Findlay, Sebastian Koch, Julia Ormond","Votes: 5,564",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,428. The Wrecking Crew! (2008)","PG | 101 min | Documentary, History, Music",7.7,Rate,67 Metascore,"A celebration of the musical work of a group of session musicians known as ""The Wrecking Crew"", a band that provided back-up instrumentals to such legendary recording artists as Frank Sinatra, The Beach Boys and Bing Crosby.","Director: Denny Tedesco | Stars: Brian Wilson, Dick Clark, Cher, Herb Alpert","Votes: 3,531 | Gross: $0.80M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,429. Disco (2008)","103 min | Comedy, Music",4.4,Rate,"Didier Travolta (Franck Dubosc) is a 40-year-old disco music fan who has no job, lives with his mother, and has a son he hasn't seen for a while in Britain. The mother of his son refuses to... See full summary »","Director: Fabien Onteniente | Stars: Franck Dubosc, Emmanuelle Béart, Gérard Depardieu, Samuel Le Bihan","Votes: 1,635",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,430. High Society (2014)",95 min | Drama,5.9,Rate,"Alice, a twenty-year-old girl of modest origin, lives in Bayeux, a small town in Normandy. She has an unambitious boyfriend, Kevin, and works at the the moment as a salesgirl in a bakeshop.... See full summary »","Director: Julie Lopes-Curval | Stars: Ana Girardot, Bastien Bouillon, Baptiste Lecaplain, Aurélia Petit",Votes: 306,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,431. Mater's Tall Tales (2008–2012)","U | 36 min | Animation, Adventure, Comedy",6.8,Rate,"Cruise into the crazy adventures of Tow Mater as you watch him be a fire truck, daredevil, import drifter, and even an astronaut.","Stars: Larry the Cable Guy, Keith Ferguson, Elissa Knight, Lindsey Collins","Votes: 3,993",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,432. Force Majeure (2014)","15 | 120 min | Comedy, Drama",7.2,Rate,87 Metascore,A family vacationing in the French Alps is confronted with a devastating avalanche.,"Director: Ruben Östlund | Stars: Johannes Kuhnke, Lisa Loven Kongsli, Clara Wettergren, Vincent Wettergren","Votes: 64,693 | Gross: $1.36M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,433. Marina Abramovic: The Artist is Present (2012)","15 | 106 min | Documentary, Biography, History",7.8,Rate,74 Metascore,A documentary that follows the Serbian performance artist as she prepares for a retrospective of her work at The Museum of Modern Art in New York.,"Directors: Matthew Akers, Jeff Dupre | Stars: Marina Abramovic, Ulay, Klaus Biesenbach, David Balliano","Votes: 6,412 | Gross: $0.09M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,434. Black Souls (2014)","15 | 109 min | Crime, Drama",6.8,Rate,76 Metascore,"The story of three brothers, the sons of a shepherd, close to the ndrangheta and of their divided soul.","Director: Francesco Munzi | Stars: Marco Leonardi, Peppino Mazzotta, Fabrizio Ferracane, Barbora Bobulova","Votes: 3,084 | Gross: $0.10M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,435. Lágrimas (2010)","12 min | Short, Drama, Family",8.8,Rate,"Dream and reality join, when a housewife takes advantage of her husband trip, with their son, to fall in temptation. She decides to invite a call-girl in and have luxurious sex with her, but not everything goes according to the plan.","Director: Fabiano Moura | Stars: Vanessa Jardim, Matheus Lustosa, Delisiée Marinho, Lui Strassburger",Votes: 6,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
